seqid,phobius_start,phobius_end,phobius_type
sp|Q0MWV8|AURE_AURAU,6,18,SP
tr|A0A288W1U8|A0A288W1U8_AURAU,0,0,OTHER
tr|A0A288W1V0|A0A288W1V0_AURAU,0,0,OTHER
tr|A0A288W1V6|A0A288W1V6_AURAU,0,0,OTHER
tr|A0A288W218|A0A288W218_AURAU,0,0,OTHER
tr|G8DLY6|G8DLY6_AURAU,0,0,OTHER
tr|Q06LE6|Q06LE6_AURAU,0,0,OTHER
tr|Q5EN83|Q5EN83_AURAU,0,0,OTHER
tr|Q5EN84|Q5EN84_AURAU,0,0,OTHER
tr|Q5EN85|Q5EN85_AURAU,0,0,OTHER
tr|Q5EN88|Q5EN88_AURAU,0,0,OTHER
tr|Q5VJP9|Q5VJP9_AURAU,0,0,OTHER
tr|Q7YZK4|Q7YZK4_AURAU,0,0,OTHER
tr|Q7YZL5|Q7YZL5_AURAU,0,0,OTHER
tr|R9S0Q6|R9S0Q6_AURAU,0,0,OTHER
tr|R9S2G6|R9S2G6_AURAU,0,0,OTHER
tr|R9S2M2|R9S2M2_AURAU,0,0,OTHER
tr|S5ZWR0|S5ZWR0_AURAU,0,0,OTHER
tr|A0A0A8P3J1|A0A0A8P3J1_AURAU,0,0,OTHER
tr|A0A0A8P3J3|A0A0A8P3J3_AURAU,0,0,OTHER
tr|A0A0A8P4W7|A0A0A8P4W7_AURAU,0,0,OTHER
tr|A0A1T4JH43|A0A1T4JH43_AURAU,0,0,OTHER
tr|A0A1T4JH61|A0A1T4JH61_AURAU,0,0,OTHER
tr|A0A288W1Q4|A0A288W1Q4_AURAU,0,0,OTHER
tr|A0A288W1S1|A0A288W1S1_AURAU,0,0,OTHER
tr|A0A288W1T2|A0A288W1T2_AURAU,0,0,OTHER
tr|A0A288W1V1|A0A288W1V1_AURAU,0,0,OTHER
tr|A0AA48LAC7|A0AA48LAC7_AURAU,0,0,OTHER
tr|A0AA48LAL6|A0AA48LAL6_AURAU,0,0,OTHER
tr|A0AA48LAS8|A0AA48LAS8_AURAU,0,0,OTHER
tr|A0AA48LAV5|A0AA48LAV5_AURAU,0,0,OTHER
tr|A0AA48QYZ9|A0AA48QYZ9_AURAU,0,0,OTHER
tr|A0AA48QZ67|A0AA48QZ67_AURAU,0,0,OTHER
tr|A0AA48QZ74|A0AA48QZ74_AURAU,0,0,OTHER
tr|A0AA86IWR2|A0AA86IWR2_AURAU,0,0,OTHER
tr|A0AA86J434|A0AA86J434_AURAU,0,0,OTHER
tr|G8DLY7|G8DLY7_AURAU,0,0,OTHER
tr|Q06LE7|Q06LE7_AURAU,0,0,OTHER
tr|Q5EN78|Q5EN78_AURAU,0,0,OTHER
tr|Q5EN80|Q5EN80_AURAU,0,0,OTHER
tr|Q5EN81|Q5EN81_AURAU,0,0,OTHER
tr|Q5EN82|Q5EN82_AURAU,0,0,OTHER
tr|Q5EN86|Q5EN86_AURAU,0,0,OTHER
tr|Q5EN89|Q5EN89_AURAU,0,0,OTHER
tr|Q5EN90|Q5EN90_AURAU,0,0,OTHER
tr|Q5EN91|Q5EN91_AURAU,0,0,OTHER
tr|Q5EN92|Q5EN92_AURAU,0,0,OTHER
tr|Q5EN93|Q5EN93_AURAU,0,0,OTHER
tr|Q692T3|Q692T3_AURAU,0,0,OTHER
tr|Q7YZI4|Q7YZI4_AURAU,0,0,OTHER
tr|Q7YZJ5|Q7YZJ5_AURAU,0,0,OTHER
tr|Q86LN2|Q86LN2_AURAU,0,0,OTHER
tr|Q8I9P3|Q8I9P3_AURAU,0,0,OTHER
tr|Q8I9P4|Q8I9P4_AURAU,0,0,OTHER
tr|Q8MTK3|Q8MTK3_AURAU,0,0,OTHER
tr|Q8MTK5|Q8MTK5_AURAU,0,0,OTHER
tr|Q8MTK7|Q8MTK7_AURAU,0,0,OTHER
tr|Q8MTK8|Q8MTK8_AURAU,0,0,OTHER
tr|Q8MTL0|Q8MTL0_AURAU,0,0,OTHER
tr|Q8MTL2|Q8MTL2_AURAU,0,0,OTHER
tr|Q9GUY8|Q9GUY8_AURAU,0,0,OTHER
tr|Q9GUZ4|Q9GUZ4_AURAU,0,0,OTHER
tr|Q9GV01|Q9GV01_AURAU,0,0,OTHER
tr|Q9NDM1|Q9NDM1_AURAU,0,0,OTHER
tr|Q9NKX9|Q9NKX9_AURAU,0,0,OTHER
tr|Q9NKY0|Q9NKY0_AURAU,0,0,OTHER
tr|Q9U5C5|Q9U5C5_AURAU,0,0,OTHER
tr|Q9U5C6|Q9U5C6_AURAU,0,0,OTHER
tr|Q9U5C7|Q9U5C7_AURAU,0,0,OTHER
tr|Q9U5C8|Q9U5C8_AURAU,0,0,OTHER
tr|Q9U5D1|Q9U5D1_AURAU,0,0,OTHER
tr|R9S0Q8|R9S0Q8_AURAU,0,0,OTHER
tr|R9S1E6|R9S1E6_AURAU,0,0,OTHER
tr|R9S2H2|R9S2H2_AURAU,0,0,OTHER
tr|U3LP18|U3LP18_AURAU,0,0,OTHER
tr|U3LP49|U3LP49_AURAU,0,0,OTHER
tr|U3LP72|U3LP72_AURAU,0,0,OTHER
tr|U3PBW0|U3PBW0_AURAU,0,0,OTHER
