seqid,phobius_start,phobius_end,phobius_type
tr|A0A0D2UCR2|A0A0D2UCR2_CAPO3,429,449,TM
tr|A0A0D2UFR5|A0A0D2UFR5_CAPO3,7,19,SP
tr|A0A0D2UG78|A0A0D2UG78_CAPO3,91,113,TM
tr|A0A0D2UGF2|A0A0D2UGF2_CAPO3,4,14,SP
tr|A0A0D2UI66|A0A0D2UI66_CAPO3,1560,1580,TM
tr|A0A0D2UI93|A0A0D2UI93_CAPO3,465,485,TM
tr|A0A0D2UJT8|A0A0D2UJT8_CAPO3,4,14,SP
tr|A0A0D2UL76|A0A0D2UL76_CAPO3,8,19,SP
tr|A0A0D2UPY0|A0A0D2UPY0_CAPO3,4,15,SP
tr|A0A0D2US11|A0A0D2US11_CAPO3,583,605,TM
tr|A0A0D2UTC4|A0A0D2UTC4_CAPO3,1380,1403,TM
tr|A0A0D2VFG5|A0A0D2VFG5_CAPO3,5,16,SP
tr|A0A0D2VGL0|A0A0D2VGL0_CAPO3,77,110,TM
tr|A0A0D2VGQ9|A0A0D2VGQ9_CAPO3,14,40,TM
tr|A0A0D2VIQ2|A0A0D2VIQ2_CAPO3,994,1015,TM
tr|A0A0D2VKJ8|A0A0D2VKJ8_CAPO3,253,277,TM
tr|A0A0D2VKU4|A0A0D2VKU4_CAPO3,564,584,TM
tr|A0A0D2VKY7|A0A0D2VKY7_CAPO3,480,503,TM
tr|A0A0D2VMB0|A0A0D2VMB0_CAPO3,1730,1752,TM
tr|A0A0D2VN62|A0A0D2VN62_CAPO3,3,14,SP
tr|A0A0D2VNU4|A0A0D2VNU4_CAPO3,20,40,TM
tr|A0A0D2VRU6|A0A0D2VRU6_CAPO3,18,31,SP
tr|A0A0D2VT44|A0A0D2VT44_CAPO3,4,15,SP
tr|A0A0D2VTF4|A0A0D2VTF4_CAPO3,190,208,TM
tr|A0A0D2VUW0|A0A0D2VUW0_CAPO3,39,60,TM
tr|A0A0D2VW41|A0A0D2VW41_CAPO3,176,195,TM
tr|A0A0D2VWQ4|A0A0D2VWQ4_CAPO3,29,40,SP
tr|A0A0D2VXT9|A0A0D2VXT9_CAPO3,641,657,TM
tr|A0A0D2W0B7|A0A0D2W0B7_CAPO3,14,25,SP
tr|A0A0D2W1P2|A0A0D2W1P2_CAPO3,4,12,SP
tr|A0A0D2WGB8|A0A0D2WGB8_CAPO3,32,55,TM
tr|A0A0D2WH64|A0A0D2WH64_CAPO3,6,32,TM
tr|A0A0D2WHT7|A0A0D2WHT7_CAPO3,197,220,TM
tr|A0A0D2WIA5|A0A0D2WIA5_CAPO3,77,98,TM
tr|A0A0D2WJR3|A0A0D2WJR3_CAPO3,26,34,SP
tr|A0A0D2WKL4|A0A0D2WKL4_CAPO3,3,14,SP
tr|A0A0D2WKW2|A0A0D2WKW2_CAPO3,808,830,TM
tr|A0A0D2WL87|A0A0D2WL87_CAPO3,38,58,TM
tr|A0A0D2WLD2|A0A0D2WLD2_CAPO3,2617,2637,TM
tr|A0A0D2WLH4|A0A0D2WLH4_CAPO3,3,13,SP
tr|A0A0D2WM36|A0A0D2WM36_CAPO3,698,723,TM
tr|A0A0D2WMC9|A0A0D2WMC9_CAPO3,1730,1752,TM
tr|A0A0D2WMP2|A0A0D2WMP2_CAPO3,739,762,TM
tr|A0A0D2WNQ4|A0A0D2WNQ4_CAPO3,365,383,TM
tr|A0A0D2WNQ7|A0A0D2WNQ7_CAPO3,432,452,TM
tr|A0A0D2WQ10|A0A0D2WQ10_CAPO3,471,493,TM
tr|A0A0D2WQH3|A0A0D2WQH3_CAPO3,76,96,TM
tr|A0A0D2WQI5|A0A0D2WQI5_CAPO3,27,50,TM
tr|A0A0D2WQJ9|A0A0D2WQJ9_CAPO3,40,62,TM
tr|A0A0D2WRB3|A0A0D2WRB3_CAPO3,985,1006,TM
tr|A0A0D2WSL0|A0A0D2WSL0_CAPO3,826,845,TM
tr|A0A0D2WSM8|A0A0D2WSM8_CAPO3,2,13,SP
tr|A0A0D2WSM9|A0A0D2WSM9_CAPO3,27,53,TM
tr|A0A0D2WSV4|A0A0D2WSV4_CAPO3,886,904,TM
tr|A0A0D2WUK4|A0A0D2WUK4_CAPO3,47,67,TM
tr|A0A0D2WVJ0|A0A0D2WVJ0_CAPO3,33,44,SP
tr|A0A0D2WVK1|A0A0D2WVK1_CAPO3,78,95,TM
tr|A0A0D2WWI6|A0A0D2WWI6_CAPO3,193,210,TM
tr|A0A0D2WXR8|A0A0D2WXR8_CAPO3,375,396,TM
tr|A0A0D2WXX9|A0A0D2WXX9_CAPO3,4,15,SP
tr|A0A0D2WY79|A0A0D2WY79_CAPO3,33,50,TM
tr|A0A0D2WYH5|A0A0D2WYH5_CAPO3,25,47,TM
tr|A0A0D2X039|A0A0D2X039_CAPO3,43,63,TM
tr|A0A0D2X0L0|A0A0D2X0L0_CAPO3,203,226,TM
tr|A0A0D2X225|A0A0D2X225_CAPO3,4,9,SP
tr|A0A0D2X2A4|A0A0D2X2A4_CAPO3,2,13,SP
tr|A0A0D2X2C8|A0A0D2X2C8_CAPO3,445,463,TM
tr|A0A0D2X2M8|A0A0D2X2M8_CAPO3,209,232,TM
tr|A0A0D2X2X6|A0A0D2X2X6_CAPO3,18,36,TM
tr|A0A0D2X3J1|A0A0D2X3J1_CAPO3,252,273,TM
tr|A0A0D2X3K3|A0A0D2X3K3_CAPO3,8,18,SP
tr|A0A0D2X3Z2|A0A0D2X3Z2_CAPO3,882,905,TM
tr|A0A0D2X4M9|A0A0D2X4M9_CAPO3,818,839,TM
tr|A0A0D2X4T2|A0A0D2X4T2_CAPO3,79,99,TM
tr|A0A0D2X529|A0A0D2X529_CAPO3,25,32,SP
tr|A0A0D2X5L3|A0A0D2X5L3_CAPO3,3,14,SP
tr|A0A0D2TZG7|A0A0D2TZG7_CAPO3,2,9,SP
tr|A0A0D2TZJ6|A0A0D2TZJ6_CAPO3,303,323,TM
tr|A0A0D2TZL5|A0A0D2TZL5_CAPO3,4,11,SP
tr|A0A0D2TZN4|A0A0D2TZN4_CAPO3,50,74,TM
tr|A0A0D2TZQ6|A0A0D2TZQ6_CAPO3,531,550,TM
tr|A0A0D2TZR8|A0A0D2TZR8_CAPO3,14,34,TM
tr|A0A0D2TZV3|A0A0D2TZV3_CAPO3,557,581,TM
tr|A0A0D2TZW9|A0A0D2TZW9_CAPO3,6,14,SP
tr|A0A0D2U002|A0A0D2U002_CAPO3,21,39,TM
tr|A0A0D2U039|A0A0D2U039_CAPO3,140,163,TM
tr|A0A0D2U063|A0A0D2U063_CAPO3,622,643,TM
tr|A0A0D2U071|A0A0D2U071_CAPO3,2,9,SP
tr|A0A0D2U0B0|A0A0D2U0B0_CAPO3,927,945,TM
tr|A0A0D2U0D3|A0A0D2U0D3_CAPO3,80,103,TM
tr|A0A0D2U0G9|A0A0D2U0G9_CAPO3,551,575,TM
tr|A0A0D2U0I4|A0A0D2U0I4_CAPO3,166,188,TM
tr|A0A0D2U146|A0A0D2U146_CAPO3,31,48,TM
tr|A0A0D2U1E4|A0A0D2U1E4_CAPO3,3,10,SP
tr|A0A0D2U1G6|A0A0D2U1G6_CAPO3,1374,1397,TM
tr|A0A0D2U1H5|A0A0D2U1H5_CAPO3,12,39,TM
tr|A0A0D2U1M4|A0A0D2U1M4_CAPO3,12,34,TM
tr|A0A0D2U1R8|A0A0D2U1R8_CAPO3,6,17,SP
tr|A0A0D2U1U3|A0A0D2U1U3_CAPO3,942,962,TM
tr|A0A0D2U1W4|A0A0D2U1W4_CAPO3,714,737,TM
tr|A0A0D2U1X0|A0A0D2U1X0_CAPO3,95,113,TM
tr|A0A0D2U1X2|A0A0D2U1X2_CAPO3,299,320,TM
tr|A0A0D2U2B2|A0A0D2U2B2_CAPO3,4,11,SP
tr|A0A0D2U2M9|A0A0D2U2M9_CAPO3,3,14,SP
tr|A0A0D2U2R6|A0A0D2U2R6_CAPO3,3,10,SP
tr|A0A0D2U2W2|A0A0D2U2W2_CAPO3,416,439,TM
tr|A0A0D2U2W7|A0A0D2U2W7_CAPO3,3,13,SP
tr|A0A0D2U2Y8|A0A0D2U2Y8_CAPO3,4,15,SP
tr|A0A0D2U2Z4|A0A0D2U2Z4_CAPO3,73,97,TM
tr|A0A0D2U2Z8|A0A0D2U2Z8_CAPO3,287,308,TM
tr|A0A0D2U342|A0A0D2U342_CAPO3,41,65,TM
tr|A0A0D2U373|A0A0D2U373_CAPO3,976,999,TM
tr|A0A0D2U382|A0A0D2U382_CAPO3,370,390,TM
tr|A0A0D2U3A9|A0A0D2U3A9_CAPO3,4,15,SP
tr|A0A0D2U3D3|A0A0D2U3D3_CAPO3,21,44,TM
tr|A0A0D2U3G0|A0A0D2U3G0_CAPO3,4,14,SP
tr|A0A0D2U3H0|A0A0D2U3H0_CAPO3,156,177,TM
tr|A0A0D2U3H4|A0A0D2U3H4_CAPO3,1033,1057,TM
tr|A0A0D2U3I5|A0A0D2U3I5_CAPO3,39,57,TM
tr|A0A0D2U3Q1|A0A0D2U3Q1_CAPO3,126,147,TM
tr|A0A0D2U3R4|A0A0D2U3R4_CAPO3,421,443,TM
tr|A0A0D2U3T4|A0A0D2U3T4_CAPO3,952,976,TM
tr|A0A0D2U448|A0A0D2U448_CAPO3,457,480,TM
tr|A0A0D2U457|A0A0D2U457_CAPO3,14,25,SP
tr|A0A0D2U494|A0A0D2U494_CAPO3,6,16,SP
tr|A0A0D2U4K6|A0A0D2U4K6_CAPO3,5,16,SP
tr|A0A0D2U4R6|A0A0D2U4R6_CAPO3,28,45,TM
tr|A0A0D2U4V1|A0A0D2U4V1_CAPO3,12,23,SP
tr|A0A0D2U4X4|A0A0D2U4X4_CAPO3,51,73,TM
tr|A0A0D2U552|A0A0D2U552_CAPO3,7,15,SP
tr|A0A0D2U567|A0A0D2U567_CAPO3,9,19,SP
tr|A0A0D2U5D3|A0A0D2U5D3_CAPO3,17,32,SP
tr|A0A0D2U5M2|A0A0D2U5M2_CAPO3,20,39,TM
tr|A0A0D2U5M7|A0A0D2U5M7_CAPO3,6,27,TM
tr|A0A0D2U5S0|A0A0D2U5S0_CAPO3,23,44,TM
tr|A0A0D2U612|A0A0D2U612_CAPO3,111,136,TM
tr|A0A0D2U643|A0A0D2U643_CAPO3,284,302,TM
tr|A0A0D2U678|A0A0D2U678_CAPO3,383,407,TM
tr|A0A0D2U6F1|A0A0D2U6F1_CAPO3,29,51,TM
tr|A0A0D2U6G6|A0A0D2U6G6_CAPO3,11,21,SP
tr|A0A0D2U6H2|A0A0D2U6H2_CAPO3,1116,1139,TM
tr|A0A0D2U6I9|A0A0D2U6I9_CAPO3,79,106,TM
tr|A0A0D2U6N1|A0A0D2U6N1_CAPO3,33,44,SP
tr|A0A0D2U6Y8|A0A0D2U6Y8_CAPO3,1119,1144,TM
tr|A0A0D2U701|A0A0D2U701_CAPO3,2,12,SP
tr|A0A0D2U729|A0A0D2U729_CAPO3,19,36,TM
tr|A0A0D2U798|A0A0D2U798_CAPO3,2,13,SP
tr|A0A0D2U7E6|A0A0D2U7E6_CAPO3,28,50,TM
tr|A0A0D2U7H5|A0A0D2U7H5_CAPO3,68,86,TM
tr|A0A0D2U7I3|A0A0D2U7I3_CAPO3,4,15,SP
tr|A0A0D2U7K9|A0A0D2U7K9_CAPO3,310,337,TM
tr|A0A0D2U814|A0A0D2U814_CAPO3,19,30,SP
tr|A0A0D2U8F5|A0A0D2U8F5_CAPO3,296,320,TM
tr|A0A0D2U8Q6|A0A0D2U8Q6_CAPO3,160,180,TM
tr|A0A0D2U8S2|A0A0D2U8S2_CAPO3,548,568,TM
tr|A0A0D2U8T9|A0A0D2U8T9_CAPO3,152,175,TM
tr|A0A0D2U8X7|A0A0D2U8X7_CAPO3,22,43,TM
tr|A0A0D2U9A6|A0A0D2U9A6_CAPO3,708,729,TM
tr|A0A0D2U9C3|A0A0D2U9C3_CAPO3,21,48,TM
tr|A0A0D2U9C6|A0A0D2U9C6_CAPO3,11,22,SP
tr|A0A0D2U9D4|A0A0D2U9D4_CAPO3,1112,1136,TM
tr|A0A0D2U9F6|A0A0D2U9F6_CAPO3,3,14,SP
tr|A0A0D2U9I7|A0A0D2U9I7_CAPO3,20,27,SP
tr|A0A0D2U9N6|A0A0D2U9N6_CAPO3,6,14,SP
tr|A0A0D2U9P5|A0A0D2U9P5_CAPO3,296,321,TM
tr|A0A0D2U9Q4|A0A0D2U9Q4_CAPO3,480,502,TM
tr|A0A0D2U9X7|A0A0D2U9X7_CAPO3,12,39,TM
tr|A0A0D2U9Z3|A0A0D2U9Z3_CAPO3,4,15,SP
tr|A0A0D2UA05|A0A0D2UA05_CAPO3,63,87,TM
tr|A0A0D2UA23|A0A0D2UA23_CAPO3,221,244,TM
tr|A0A0D2UA29|A0A0D2UA29_CAPO3,361,383,TM
tr|A0A0D2UA93|A0A0D2UA93_CAPO3,16,39,TM
tr|A0A0D2UAC3|A0A0D2UAC3_CAPO3,576,598,TM
tr|A0A0D2UAJ2|A0A0D2UAJ2_CAPO3,865,889,TM
tr|A0A0D2UAL1|A0A0D2UAL1_CAPO3,276,297,TM
tr|A0A0D2UAL7|A0A0D2UAL7_CAPO3,10,17,SP
tr|A0A0D2UAP2|A0A0D2UAP2_CAPO3,132,151,TM
tr|A0A0D2UAT2|A0A0D2UAT2_CAPO3,34,54,TM
tr|A0A0D2UAU2|A0A0D2UAU2_CAPO3,271,298,TM
tr|A0A0D2UAW6|A0A0D2UAW6_CAPO3,710,732,TM
tr|A0A0D2UAX9|A0A0D2UAX9_CAPO3,8,18,SP
tr|A0A0D2UAY5|A0A0D2UAY5_CAPO3,5,16,SP
tr|A0A0D2UB63|A0A0D2UB63_CAPO3,49,67,TM
tr|A0A0D2UBH9|A0A0D2UBH9_CAPO3,16,27,SP
tr|A0A0D2UBM4|A0A0D2UBM4_CAPO3,4122,4143,TM
tr|A0A0D2UBX1|A0A0D2UBX1_CAPO3,596,617,TM
tr|A0A0D2UC69|A0A0D2UC69_CAPO3,109,130,TM
tr|A0A0D2UCA1|A0A0D2UCA1_CAPO3,239,256,TM
tr|A0A0D2UCB9|A0A0D2UCB9_CAPO3,4,15,SP
tr|A0A0D2UCF6|A0A0D2UCF6_CAPO3,12,29,TM
tr|A0A0D2UCH9|A0A0D2UCH9_CAPO3,12,36,TM
tr|A0A0D2UD20|A0A0D2UD20_CAPO3,34,57,TM
tr|A0A0D2UD83|A0A0D2UD83_CAPO3,2,12,SP
tr|A0A0D2UD90|A0A0D2UD90_CAPO3,4,12,SP
tr|A0A0D2UDB2|A0A0D2UDB2_CAPO3,7,14,SP
tr|A0A0D2UDB7|A0A0D2UDB7_CAPO3,798,817,TM
tr|A0A0D2UDC7|A0A0D2UDC7_CAPO3,7,14,SP
tr|A0A0D2UDD5|A0A0D2UDD5_CAPO3,53,77,TM
tr|A0A0D2UDF6|A0A0D2UDF6_CAPO3,138,159,TM
tr|A0A0D2UDJ0|A0A0D2UDJ0_CAPO3,132,152,TM
tr|A0A0D2UDM7|A0A0D2UDM7_CAPO3,660,682,TM
tr|A0A0D2UDQ6|A0A0D2UDQ6_CAPO3,37,59,TM
tr|A0A0D2UDR4|A0A0D2UDR4_CAPO3,453,472,TM
tr|A0A0D2UDR7|A0A0D2UDR7_CAPO3,508,529,TM
tr|A0A0D2UDT3|A0A0D2UDT3_CAPO3,10,21,SP
tr|A0A0D2UDU3|A0A0D2UDU3_CAPO3,50,69,TM
tr|A0A0D2UE08|A0A0D2UE08_CAPO3,66,83,TM
tr|A0A0D2UE42|A0A0D2UE42_CAPO3,27,37,SP
tr|A0A0D2UE44|A0A0D2UE44_CAPO3,45,67,TM
tr|A0A0D2UE53|A0A0D2UE53_CAPO3,132,151,TM
tr|A0A0D2UEA7|A0A0D2UEA7_CAPO3,3,13,SP
tr|A0A0D2UEB8|A0A0D2UEB8_CAPO3,266,290,TM
tr|A0A0D2UEE1|A0A0D2UEE1_CAPO3,48,65,TM
tr|A0A0D2UEG2|A0A0D2UEG2_CAPO3,631,655,TM
tr|A0A0D2UEJ6|A0A0D2UEJ6_CAPO3,54,72,TM
tr|A0A0D2UEV8|A0A0D2UEV8_CAPO3,848,871,TM
tr|A0A0D2UEW1|A0A0D2UEW1_CAPO3,3,14,SP
tr|A0A0D2UEX9|A0A0D2UEX9_CAPO3,311,335,TM
tr|A0A0D2UF04|A0A0D2UF04_CAPO3,248,270,TM
tr|A0A0D2UF16|A0A0D2UF16_CAPO3,20,40,TM
tr|A0A0D2UF71|A0A0D2UF71_CAPO3,3,14,SP
tr|A0A0D2UFA4|A0A0D2UFA4_CAPO3,4,14,SP
tr|A0A0D2UFB5|A0A0D2UFB5_CAPO3,242,261,TM
tr|A0A0D2UFC9|A0A0D2UFC9_CAPO3,418,436,TM
tr|A0A0D2UFE6|A0A0D2UFE6_CAPO3,28,45,TM
tr|A0A0D2UFF0|A0A0D2UFF0_CAPO3,53,72,TM
tr|A0A0D2UFG0|A0A0D2UFG0_CAPO3,11,22,SP
tr|A0A0D2UFH0|A0A0D2UFH0_CAPO3,221,238,TM
tr|A0A0D2UFH7|A0A0D2UFH7_CAPO3,23,42,TM
tr|A0A0D2UFH9|A0A0D2UFH9_CAPO3,5,14,SP
tr|A0A0D2UFI7|A0A0D2UFI7_CAPO3,788,810,TM
tr|A0A0D2UFK2|A0A0D2UFK2_CAPO3,245,262,TM
tr|A0A0D2UG00|A0A0D2UG00_CAPO3,115,134,TM
tr|A0A0D2UG33|A0A0D2UG33_CAPO3,7,19,SP
tr|A0A0D2UG41|A0A0D2UG41_CAPO3,125,142,TM
tr|A0A0D2UG65|A0A0D2UG65_CAPO3,1711,1728,TM
tr|A0A0D2UG72|A0A0D2UG72_CAPO3,1766,1784,TM
tr|A0A0D2UG93|A0A0D2UG93_CAPO3,550,575,TM
tr|A0A0D2UGF9|A0A0D2UGF9_CAPO3,2639,2661,TM
tr|A0A0D2UGG9|A0A0D2UGG9_CAPO3,316,334,TM
tr|A0A0D2UGH2|A0A0D2UGH2_CAPO3,6,26,TM
tr|A0A0D2UGJ6|A0A0D2UGJ6_CAPO3,7,17,SP
tr|A0A0D2UGN6|A0A0D2UGN6_CAPO3,33,52,TM
tr|A0A0D2UGP9|A0A0D2UGP9_CAPO3,482,500,TM
tr|A0A0D2UGR2|A0A0D2UGR2_CAPO3,379,398,TM
tr|A0A0D2UGZ4|A0A0D2UGZ4_CAPO3,4,12,SP
tr|A0A0D2UH23|A0A0D2UH23_CAPO3,1676,1695,TM
tr|A0A0D2UH68|A0A0D2UH68_CAPO3,8,15,SP
tr|A0A0D2UH86|A0A0D2UH86_CAPO3,51,70,TM
tr|A0A0D2UHB8|A0A0D2UHB8_CAPO3,211,232,TM
tr|A0A0D2UHD6|A0A0D2UHD6_CAPO3,229,250,TM
tr|A0A0D2UHR7|A0A0D2UHR7_CAPO3,25,44,TM
tr|A0A0D2UHS0|A0A0D2UHS0_CAPO3,1124,1146,TM
tr|A0A0D2UHS6|A0A0D2UHS6_CAPO3,394,416,TM
tr|A0A0D2UHV7|A0A0D2UHV7_CAPO3,17,38,TM
tr|A0A0D2UHX2|A0A0D2UHX2_CAPO3,4,11,SP
tr|A0A0D2UHX9|A0A0D2UHX9_CAPO3,774,796,TM
tr|A0A0D2UI70|A0A0D2UI70_CAPO3,29,51,TM
tr|A0A0D2UI80|A0A0D2UI80_CAPO3,181,199,TM
tr|A0A0D2UIB4|A0A0D2UIB4_CAPO3,9,21,SP
tr|A0A0D2UIC3|A0A0D2UIC3_CAPO3,888,911,TM
tr|A0A0D2UJ45|A0A0D2UJ45_CAPO3,41,60,TM
tr|A0A0D2UJ53|A0A0D2UJ53_CAPO3,3,10,SP
tr|A0A0D2UJC6|A0A0D2UJC6_CAPO3,928,952,TM
tr|A0A0D2UJH5|A0A0D2UJH5_CAPO3,675,699,TM
tr|A0A0D2UJN3|A0A0D2UJN3_CAPO3,551,574,TM
tr|A0A0D2UJQ3|A0A0D2UJQ3_CAPO3,603,624,TM
tr|A0A0D2UJU2|A0A0D2UJU2_CAPO3,148,172,TM
tr|A0A0D2UJZ4|A0A0D2UJZ4_CAPO3,1379,1401,TM
tr|A0A0D2UK37|A0A0D2UK37_CAPO3,4,15,SP
tr|A0A0D2UKA6|A0A0D2UKA6_CAPO3,687,710,TM
tr|A0A0D2UKD2|A0A0D2UKD2_CAPO3,6,25,TM
tr|A0A0D2UKQ8|A0A0D2UKQ8_CAPO3,137,158,TM
tr|A0A0D2UKR0|A0A0D2UKR0_CAPO3,4,11,SP
tr|A0A0D2UKR6|A0A0D2UKR6_CAPO3,95,115,TM
tr|A0A0D2UKT6|A0A0D2UKT6_CAPO3,1336,1358,TM
tr|A0A0D2UKU4|A0A0D2UKU4_CAPO3,43,64,TM
tr|A0A0D2UKU9|A0A0D2UKU9_CAPO3,468,489,TM
tr|A0A0D2UKX0|A0A0D2UKX0_CAPO3,9,17,SP
tr|A0A0D2UKX7|A0A0D2UKX7_CAPO3,938,961,TM
tr|A0A0D2UKY7|A0A0D2UKY7_CAPO3,48,66,TM
tr|A0A0D2UL10|A0A0D2UL10_CAPO3,42,59,TM
tr|A0A0D2UL16|A0A0D2UL16_CAPO3,7,28,TM
tr|A0A0D2UL57|A0A0D2UL57_CAPO3,219,241,TM
tr|A0A0D2UL81|A0A0D2UL81_CAPO3,16,34,TM
tr|A0A0D2UL84|A0A0D2UL84_CAPO3,19,28,SP
tr|A0A0D2ULI0|A0A0D2ULI0_CAPO3,409,433,TM
tr|A0A0D2ULI5|A0A0D2ULI5_CAPO3,355,379,TM
tr|A0A0D2ULJ1|A0A0D2ULJ1_CAPO3,3,14,SP
tr|A0A0D2ULN9|A0A0D2ULN9_CAPO3,404,426,TM
tr|A0A0D2ULR5|A0A0D2ULR5_CAPO3,345,366,TM
tr|A0A0D2ULS8|A0A0D2ULS8_CAPO3,367,391,TM
tr|A0A0D2ULU9|A0A0D2ULU9_CAPO3,25,44,TM
tr|A0A0D2UM49|A0A0D2UM49_CAPO3,378,402,TM
tr|A0A0D2UM61|A0A0D2UM61_CAPO3,225,244,TM
tr|A0A0D2UM76|A0A0D2UM76_CAPO3,6,26,TM
tr|A0A0D2UM96|A0A0D2UM96_CAPO3,21,41,TM
tr|A0A0D2UMA1|A0A0D2UMA1_CAPO3,3,11,SP
tr|A0A0D2UMC2|A0A0D2UMC2_CAPO3,1296,1318,TM
tr|A0A0D2UMD4|A0A0D2UMD4_CAPO3,863,883,TM
tr|A0A0D2UMF1|A0A0D2UMF1_CAPO3,8,18,SP
tr|A0A0D2UMK7|A0A0D2UMK7_CAPO3,12,34,TM
tr|A0A0D2UMM7|A0A0D2UMM7_CAPO3,12,30,TM
tr|A0A0D2UMV2|A0A0D2UMV2_CAPO3,9,27,TM
tr|A0A0D2UMW2|A0A0D2UMW2_CAPO3,7,19,SP
tr|A0A0D2UN27|A0A0D2UN27_CAPO3,338,357,TM
tr|A0A0D2UN46|A0A0D2UN46_CAPO3,36,58,TM
tr|A0A0D2UNT9|A0A0D2UNT9_CAPO3,3,14,SP
tr|A0A0D2UNU2|A0A0D2UNU2_CAPO3,78,94,TM
tr|A0A0D2UNV9|A0A0D2UNV9_CAPO3,2,12,SP
tr|A0A0D2UNY4|A0A0D2UNY4_CAPO3,525,547,TM
tr|A0A0D2UP02|A0A0D2UP02_CAPO3,7,18,SP
tr|A0A0D2UP18|A0A0D2UP18_CAPO3,389,407,TM
tr|A0A0D2UP26|A0A0D2UP26_CAPO3,20,31,SP
tr|A0A0D2UP33|A0A0D2UP33_CAPO3,3,13,SP
tr|A0A0D2UP46|A0A0D2UP46_CAPO3,2,13,SP
tr|A0A0D2UP49|A0A0D2UP49_CAPO3,7,22,SP
tr|A0A0D2UP64|A0A0D2UP64_CAPO3,491,509,TM
tr|A0A0D2UP84|A0A0D2UP84_CAPO3,293,319,TM
tr|A0A0D2UP96|A0A0D2UP96_CAPO3,104,122,TM
tr|A0A0D2UPA1|A0A0D2UPA1_CAPO3,7,18,SP
tr|A0A0D2UPA8|A0A0D2UPA8_CAPO3,12,32,TM
tr|A0A0D2UPD5|A0A0D2UPD5_CAPO3,78,96,TM
tr|A0A0D2UPE0|A0A0D2UPE0_CAPO3,3,14,SP
tr|A0A0D2UPE4|A0A0D2UPE4_CAPO3,35,52,TM
tr|A0A0D2UPU9|A0A0D2UPU9_CAPO3,1348,1374,TM
tr|A0A0D2UPW8|A0A0D2UPW8_CAPO3,701,723,TM
tr|A0A0D2UPY6|A0A0D2UPY6_CAPO3,48,66,TM
tr|A0A0D2UQ09|A0A0D2UQ09_CAPO3,2,10,SP
tr|A0A0D2UQ85|A0A0D2UQ85_CAPO3,190,214,TM
tr|A0A0D2UQH7|A0A0D2UQH7_CAPO3,6,24,TM
tr|A0A0D2UQH9|A0A0D2UQH9_CAPO3,8,18,SP
tr|A0A0D2UQQ7|A0A0D2UQQ7_CAPO3,1219,1241,TM
tr|A0A0D2UQW2|A0A0D2UQW2_CAPO3,21,42,TM
