"seqid","window_length","window_start","window_end","window_type","window_origin","KD_hydropathy","KD_max_hydropathy","rose_hydropathy","rose_max_hydropathy"
"YLR299W",21,12,33,"TM","phobius",54.0222222222222,2.45555555555556,18.6022222222222,0.845555555555556
"YDR518W",11,7,18,"SP","phobius",31.2,2.6,9.86666666666667,0.822222222222222
"YKR069W",10,5,15,"SP","phobius",16.1333333333333,1.46666666666667,8.45777777777778,0.768888888888889
"YLR080W",18,30,48,"TM","phobius",38.2111111111111,2.01111111111111,16.1711111111111,0.851111111111111
"YPR198W",11,5,16,"SP","phobius",33.6,2.8,9.88,0.823333333333333
"YOR020W-A",21,12,33,"TM","phobius",53.5333333333333,2.43333333333333,17.6733333333333,0.803333333333333
"Q0275",24,21,45,"TM","phobius",65.2777777777778,2.61111111111111,20.1111111111111,0.804444444444445
"YDL072C",20,6,26,"TM","phobius",66.7333333333333,3.17777777777778,17.64,0.84
"YIL049W",18,12,30,"TM","phobius",50.4555555555556,2.65555555555556,15.8755555555556,0.835555555555555
"YGL204C",18,22,40,"TM","phobius",62.0666666666667,3.26666666666667,15.96,0.84
"YGL168W",21,12,33,"TM","phobius",41.0666666666667,1.86666666666667,18.0644444444444,0.821111111111111
"YPL096C-A",21,7,28,"TM","phobius",56.7111111111111,2.57777777777778,17.7711111111111,0.807777777777778
"YLR307W",11,6,17,"SP","phobius",30.6666666666667,2.55555555555556,9.78666666666667,0.815555555555556
"YDR504C",30,22,52,"TM","phobius",111.944444444444,3.61111111111111,27.0733333333333,0.873333333333333
"YBR085W",18,12,30,"TM","phobius",34.6222222222222,1.82222222222222,15.0944444444444,0.794444444444444
"YHR132C",11,7,18,"SP","phobius",39.6,3.3,10.24,0.853333333333333
"YDR410C",21,20,41,"TM","phobius",65.7555555555556,2.98888888888889,18.3577777777778,0.834444444444444
"YFR020W",8,7,15,"SP","phobius",28.1,3.12222222222222,7.6,0.844444444444445
"YBL017C",13,3,16,"SP","phobius",35.4666666666667,2.53333333333333,11.4644444444444,0.818888888888889
"YOR381W",11,4,15,"SP","phobius",33.6,2.8,10.0533333333333,0.837777777777778
"YLR403W",7,13,20,"SP","phobius",1.06666666666667,0.133333333333333,5.76888888888889,0.721111111111111
"YNL329C",11,3,14,"SP","phobius",15.2,1.26666666666667,9.28,0.773333333333333
"YGL041C-B",24,15,39,"TM","phobius",80.2777777777778,3.21111111111111,21.3611111111111,0.854444444444444
"YMR202W",19,6,25,"TM","phobius",60.6666666666667,3.03333333333333,16.5333333333333,0.826666666666667
"YMR126C",20,12,32,"TM","phobius",70.9333333333333,3.37777777777778,17.64,0.84
"YIL162W",11,3,14,"SP","phobius",30.6666666666667,2.55555555555556,9.85333333333333,0.821111111111111
"YLR283W",8,21,29,"SP","phobius",13.5,1.5,7.27,0.807777777777778
"YKR061W",11,14,25,"SP","phobius",36.5333333333333,3.04444444444444,10.16,0.846666666666667
"YAL042W",21,21,42,"TM","phobius",61.8444444444444,2.81111111111111,18.26,0.83
"YOR030W",17,6,23,"TM","phobius",29,1.61111111111111,14.58,0.81
"YLR454W",19,12,31,"TM","phobius",49.1111111111111,2.45555555555556,16.6444444444444,0.832222222222222
"YLR261C",7,8,15,"SP","phobius",17.9555555555556,2.24444444444444,6.55111111111111,0.818888888888889
"YBR096W",16,30,46,"TM","phobius",28.7111111111111,1.68888888888889,13.7511111111111,0.808888888888889
"YJR116W",18,36,54,"TM","phobius",40.1111111111111,2.11111111111111,15.4533333333333,0.813333333333333
"YDL052C",11,14,25,"SP","phobius",36.2666666666667,3.02222222222222,9.84,0.82
"YCR094W",20,39,59,"TM","phobius",71.6333333333333,3.41111111111111,18.0366666666667,0.858888888888889
"YLR253W",16,35,51,"TM","phobius",34.7555555555556,2.04444444444444,13.3166666666667,0.783333333333333
"YNL033W",11,10,21,"SP","phobius",30.6666666666667,2.55555555555556,9.72,0.81
"YKL175W",24,6,30,"TM","phobius",73.6111111111111,2.94444444444444,21.0277777777778,0.841111111111111
"YDR456W",10,5,15,"SP","phobius",21.6333333333333,1.96666666666667,8.64111111111111,0.785555555555556
"YML101C",15,6,21,"TM","phobius",49.2444444444444,3.07777777777778,13.6355555555556,0.852222222222222
"YKL037W",17,12,29,"TM","phobius",48.2,2.67777777777778,15.08,0.837777777777778
"YOR384W",8,6,14,"SP","phobius",27.9,3.1,7.47,0.83
"YOL154W",7,8,15,"SP","phobius",19.7333333333333,2.46666666666667,6.40888888888889,0.801111111111111
"YAL018C",10,3,13,"SP","phobius",22.8555555555556,2.07777777777778,8.67777777777778,0.788888888888889
"YEL002C",11,7,18,"SP","phobius",34.8,2.9,10.1466666666667,0.845555555555556
"YNL146C-A",6,2,8,"SP","phobius",15.9444444444444,2.27777777777778,5.77111111111111,0.824444444444444
"YPL277C",20,7,27,"TM","phobius",76.7666666666667,3.65555555555556,17.85,0.85
"YLR104W",11,6,17,"SP","phobius",43.6,3.63333333333333,10.2666666666667,0.855555555555556
"YHR007C-A",22,21,43,"TM","phobius",41.6555555555556,1.81111111111111,18.3488888888889,0.797777777777778
"YJL037W",11,10,21,"SP","phobius",36.2666666666667,3.02222222222222,10.0933333333333,0.841111111111111
"Q0085",18,39,57,"TM","phobius",59.3222222222222,3.12222222222222,15.8755555555556,0.835555555555555
"YMR175W-A",7,3,10,"SP","phobius",14.6666666666667,1.83333333333333,6.59555555555556,0.824444444444444
"YER053C-A",15,6,21,"TM","phobius",47.4666666666667,2.96666666666667,13.5822222222222,0.848888888888889
"YKL096C-B",17,31,48,"TM","phobius",41.4,2.3,14.9,0.827777777777778
"YGL200C",8,8,16,"SP","phobius",28,3.11111111111111,7.76,0.862222222222222
"YNL194C",22,6,28,"TM","phobius",67.4666666666667,2.93333333333333,19.1666666666667,0.833333333333333
"YBR255C-A",22,22,44,"TM","phobius",52.9,2.3,18.17,0.79
"YER044C",20,26,46,"TM","phobius",61.1333333333333,2.91111111111111,17.29,0.823333333333333
"YCL049C",11,6,17,"SP","phobius",24.6666666666667,2.05555555555556,9.41333333333333,0.784444444444444
"YBR106W",19,28,47,"TM","phobius",38.2222222222222,1.91111111111111,16.4666666666667,0.823333333333333
"YDR204W",17,21,38,"TM","phobius",34.8,1.93333333333333,14.3,0.794444444444444
"YJR151C",10,4,14,"SP","phobius",32.0222222222222,2.91111111111111,8.88555555555556,0.807777777777778
"YML038C",21,37,58,"TM","phobius",41.5555555555556,1.88888888888889,17.8444444444444,0.811111111111111
"YGL160W",21,23,44,"TM","phobius",66,3,18.26,0.83
"YCR041W",18,24,42,"TM","phobius",48.3444444444444,2.54444444444444,15.4955555555556,0.815555555555556
"YJR012C",21,17,38,"TM","phobius",66,3,19.0422222222222,0.865555555555556
"YFL021W",17,7,24,"TM","phobius",49.2,2.73333333333333,15,0.833333333333333
"YIL023C",11,3,14,"SP","phobius",31.6,2.63333333333333,9.64,0.803333333333333
"YNR021W",18,42,60,"TM","phobius",55.9444444444444,2.94444444444444,15.8755555555556,0.835555555555555
"YIL037C",23,20,43,"TM","phobius",66.4,2.76666666666667,20.0533333333333,0.835555555555555
"YEL043W",10,3,13,"SP","phobius",28.6,2.6,8.98333333333333,0.816666666666667
"YPL053C",17,12,29,"TM","phobius",59,3.27777777777778,15.26,0.847777777777778
"YBR074W",17,18,35,"TM","phobius",44.2,2.45555555555556,14.68,0.815555555555556
"YML012W",11,4,15,"SP","phobius",33.3333333333333,2.77777777777778,9.68,0.806666666666667
"YER182W",17,29,46,"TM","phobius",23,1.27777777777778,14.28,0.793333333333333
"YDR411C",22,37,59,"TM","phobius",60.8222222222222,2.64444444444444,18.7577777777778,0.815555555555556
"YDR437W",22,6,28,"TM","phobius",58.5222222222222,2.54444444444444,18.9366666666667,0.823333333333333
"YKL028W",19,20,39,"TM","phobius",56.4444444444444,2.82222222222222,16.4222222222222,0.821111111111111
"YLR020C",19,12,31,"TM","phobius",45.1111111111111,2.25555555555556,16.1555555555556,0.807777777777778
"YEL016C",18,29,47,"TM","phobius",65.0222222222222,3.42222222222222,16.1922222222222,0.852222222222222
"YFR042W",19,12,31,"TM","phobius",46,2.3,16.6666666666667,0.833333333333333
"YOL161C",11,4,15,"SP","phobius",29.0666666666667,2.42222222222222,9.38666666666667,0.782222222222222
"YDR307W",18,29,47,"TM","phobius",59.5333333333333,3.13333333333333,16.0655555555556,0.845555555555556
"YHR211W",12,7,19,"SP","phobius",46.2222222222222,3.55555555555556,11.1655555555556,0.858888888888889
"YCL057C-A",19,41,60,"TM","phobius",44.6666666666667,2.23333333333333,16.2,0.81
"Q0105",24,28,52,"TM","phobius",70,2.8,20.6388888888889,0.825555555555556
"YIL099W",8,11,19,"SP","phobius",18.7,2.07777777777778,7.24,0.804444444444445
"YDR144C",11,3,14,"SP","phobius",31.7333333333333,2.64444444444444,9.90666666666667,0.825555555555555
"YKL209C",21,26,47,"TM","phobius",59.1555555555556,2.68888888888889,18.26,0.83
"YJL004C",23,30,53,"TM","phobius",54.4,2.26666666666667,19.92,0.83
"YGL146C",18,34,52,"TM","phobius",57.2111111111111,3.01111111111111,16.0022222222222,0.842222222222222
"YDR055W",11,3,14,"SP","phobius",30,2.5,9.53333333333333,0.794444444444444
"YBR110W",26,6,32,"TM","phobius",85.5,3.16666666666667,22.53,0.834444444444444
"YGR089W",21,39,60,"TM","phobius",63.8,2.9,18.2355555555556,0.828888888888889
"YLR450W",19,25,44,"TM","phobius",66.4444444444444,3.32222222222222,16.8222222222222,0.841111111111111
"YDR090C",21,38,59,"TM","phobius",51.0888888888889,2.32222222222222,18.3577777777778,0.834444444444444
"YHL017W",11,4,15,"SP","phobius",33.3333333333333,2.77777777777778,10.1333333333333,0.844444444444445
"YDL128W",18,40,58,"TM","phobius",52.9888888888889,2.78888888888889,15.6011111111111,0.821111111111111
"YGL085W",20,12,32,"TM","phobius",59.0333333333333,2.81111111111111,16.9866666666667,0.808888888888889
"YGR023W",10,21,31,"SP","phobius",21.3888888888889,1.94444444444444,8.81222222222222,0.801111111111111
"YGL139W",10,10,20,"SP","phobius",36.7888888888889,3.34444444444444,9.16666666666667,0.833333333333333
"YDR079W",18,18,36,"TM","phobius",49.1888888888889,2.58888888888889,15.6855555555556,0.825555555555555
"YDR205W",21,6,27,"TM","phobius",49.3777777777778,2.24444444444444,17.4777777777778,0.794444444444445
"YLR343W",10,9,19,"SP","phobius",39.6,3.6,9.44777777777778,0.858888888888889
"YGR036C",21,33,54,"TM","phobius",61.1111111111111,2.77777777777778,18.0888888888889,0.822222222222222
"YDR513W",20,6,26,"TM","phobius",78.4,3.73333333333333,17.9433333333333,0.854444444444444
"YOR010C",10,6,16,"SP","phobius",31.2888888888889,2.84444444444444,8.75111111111111,0.795555555555556
"YGL010W",18,25,43,"TM","phobius",41.1666666666667,2.16666666666667,15.39,0.81
"YMR281W",18,14,32,"TM","phobius",52.9888888888889,2.78888888888889,15.6644444444444,0.824444444444444
"YMR006C",8,6,14,"SP","phobius",12.5,1.38888888888889,6.8,0.755555555555556
"YNL146W",17,14,31,"TM","phobius",66.8,3.71111111111111,15.6,0.866666666666667
"YHR078W",9,3,12,"SP","phobius",34.6666666666667,3.46666666666667,8.42222222222222,0.842222222222222
"YGR012W",19,12,31,"TM","phobius",53.7777777777778,2.68888888888889,16.2666666666667,0.813333333333333
"YNL095C",18,20,38,"TM","phobius",52.1444444444445,2.74444444444444,15.8122222222222,0.832222222222222
"YEL040W",11,8,19,"SP","phobius",33.2,2.76666666666667,10.16,0.846666666666667
"YLR088W",22,20,42,"TM","phobius",63.1222222222222,2.74444444444444,19.32,0.84
"YKL163W",7,7,14,"SP","phobius",17.6888888888889,2.21111111111111,6.22222222222222,0.777777777777778
"YPR149W",16,12,28,"TM","phobius",51.7555555555556,3.04444444444444,14.3366666666667,0.843333333333333
"YIL123W",8,3,11,"SP","phobius",14.2,1.57777777777778,6.97,0.774444444444444
"YKL018C-A",11,7,18,"SP","phobius",33.0666666666667,2.75555555555556,9.70666666666667,0.808888888888889
"YPR157W",11,3,14,"SP","phobius",30.6666666666667,2.55555555555556,10.0533333333333,0.837777777777778
"YFL066C",19,36,55,"TM","phobius",42.2222222222222,2.11111111111111,16.1777777777778,0.808888888888889
"YNL130C",22,38,60,"TM","phobius",69.2555555555556,3.01111111111111,19.7544444444444,0.858888888888889
"YFL048C",10,10,20,"SP","phobius",30.9222222222222,2.81111111111111,9.00777777777778,0.818888888888889
"YNL029C",24,12,36,"TM","phobius",77.5,3.1,21.0555555555556,0.842222222222222
"YMR035W",11,15,26,"SP","phobius",26.2666666666667,2.18888888888889,9.62666666666667,0.802222222222222
"YJR044C",22,12,34,"TM","phobius",71.8111111111111,3.12222222222222,19.1155555555556,0.831111111111111
"YDR381C-A",18,12,30,"TM","phobius",39.0555555555556,2.05555555555556,14.9888888888889,0.788888888888889
"YFL040W",11,28,39,"SP","phobius",32.5333333333333,2.71111111111111,9.96,0.83
"YBL098W",11,5,16,"SP","phobius",32,2.66666666666667,9.70666666666667,0.808888888888889
"YGR257C",20,16,36,"TM","phobius",40.6,1.93333333333333,16.59,0.79
"YBR036C",8,4,12,"SP","phobius",16.9,1.87777777777778,7.21,0.801111111111111
"YPL092W",18,16,34,"TM","phobius",44.7555555555556,2.35555555555556,16.0444444444444,0.844444444444444
"YGL027C",8,12,20,"SP","phobius",24.9,2.76666666666667,7.41,0.823333333333333
"YDL036C",8,25,33,"SP","phobius",16.4,1.82222222222222,6.92,0.768888888888889
"YHR045W",18,6,24,"TM","phobius",68.8222222222222,3.62222222222222,16.0655555555556,0.845555555555556
"YBR161W",17,7,24,"TM","phobius",51.4,2.85555555555556,14.8,0.822222222222222
"YIL169C",8,8,16,"SP","phobius",17.9,1.98888888888889,7.01,0.778888888888889
"YDR371W",20,14,34,"TM","phobius",75.1333333333333,3.57777777777778,17.9666666666667,0.855555555555556
"YGR294W",11,4,15,"SP","phobius",29.0666666666667,2.42222222222222,9.38666666666667,0.782222222222222
"YJL171C",10,4,14,"SP","phobius",30.5555555555556,2.77777777777778,9.28888888888889,0.844444444444444
"YMR200W",8,11,19,"SP","phobius",18.4,2.04444444444444,7.25,0.805555555555555
"YIL027C",10,7,17,"SP","phobius",22.9777777777778,2.08888888888889,8.82444444444444,0.802222222222222
"YLR162W",17,38,55,"TM","phobius",53.4,2.96666666666667,15.7,0.872222222222222
"YOR175C",19,20,39,"TM","phobius",40.8888888888889,2.04444444444444,16.1111111111111,0.805555555555555
"YNR050C",9,5,14,"SP","phobius",23.3333333333333,2.33333333333333,8.05555555555556,0.805555555555556
"YPL207W",16,6,22,"TM","phobius",39.6666666666667,2.33333333333333,13.5055555555556,0.794444444444445
"YMR307W",8,9,17,"SP","phobius",18.4,2.04444444444444,7.04,0.782222222222222
"YJR131W",18,6,24,"TM","phobius",56.7888888888889,2.98888888888889,15.5377777777778,0.817777777777778
"YJL003W",24,34,58,"TM","phobius",58.6111111111111,2.34444444444444,20.8055555555556,0.832222222222222
"YLR042C",11,9,20,"SP","phobius",37.4666666666667,3.12222222222222,10.04,0.836666666666667
"YER093C-A",17,16,33,"TM","phobius",34,1.88888888888889,14.46,0.803333333333333
"YNL160W",11,3,14,"SP","phobius",33.4666666666667,2.78888888888889,9.76,0.813333333333333
"YEL036C",22,21,43,"TM","phobius",51.6222222222222,2.24444444444444,18.8344444444444,0.818888888888889
"YOR099W",10,17,27,"SP","phobius",34.1,3.1,9.11777777777778,0.828888888888889
"YOL019W-A",17,12,29,"TM","phobius",38.4,2.13333333333333,14.64,0.813333333333333
"YNR075W",17,42,59,"TM","phobius",26.6,1.47777777777778,14.66,0.814444444444444
"YHR154W",11,5,16,"SP","phobius",30.6666666666667,2.55555555555556,9.70666666666667,0.808888888888889
"YDR077W",10,3,13,"SP","phobius",21.1444444444444,1.92222222222222,8.51888888888889,0.774444444444444
"YJR051W",18,7,25,"TM","phobius",67.3444444444444,3.54444444444444,16.0655555555556,0.845555555555556
"YIL102C-A",18,5,23,"TM","phobius",59.5333333333333,3.13333333333333,16.2344444444444,0.854444444444444
"YMR256C",20,28,48,"TM","phobius",57.4,2.73333333333333,17.1266666666667,0.815555555555556
"YOR003W",9,3,12,"SP","phobius",17.1111111111111,1.71111111111111,8.06666666666667,0.806666666666667
"YOR387C",11,3,14,"SP","phobius",31.4666666666667,2.62222222222222,9.93333333333333,0.827777777777778
"YLR157C",7,6,13,"SP","phobius",22.3111111111111,2.78888888888889,6.56888888888889,0.821111111111111
"YLR083C",11,6,17,"SP","phobius",30.5333333333333,2.54444444444444,9.92,0.826666666666667
"YGR082W",11,10,21,"SP","phobius",24.8,2.06666666666667,9.29333333333333,0.774444444444444
"YER004W",11,4,15,"SP","phobius",24.5333333333333,2.04444444444444,9.6,0.8
"YMR251W-A",11,3,14,"SP","phobius",28.9333333333333,2.41111111111111,9.54666666666667,0.795555555555556
"YOR316C",19,12,31,"TM","phobius",52.6666666666667,2.63333333333333,16.3111111111111,0.815555555555556
"YBL082C",21,32,53,"TM","phobius",70.1555555555556,3.18888888888889,18.4311111111111,0.837777777777778
"YBR015C",19,12,31,"TM","phobius",65.5555555555556,3.27777777777778,17.0666666666667,0.853333333333333
"YPR159C-A",19,12,31,"TM","phobius",66,3.3,16.8,0.84
"YMR292W",20,9,29,"TM","phobius",59.9666666666667,2.85555555555556,17.9666666666667,0.855555555555556
"YOR383C",10,3,13,"SP","phobius",27.3777777777778,2.48888888888889,8.60444444444445,0.782222222222222
"YKL046C",10,6,16,"SP","phobius",32.1444444444444,2.92222222222222,9.13,0.83
"YBR262C",17,12,29,"TM","phobius",37,2.05555555555556,14.46,0.803333333333333
"YCL048W",11,9,20,"SP","phobius",33.8666666666667,2.82222222222222,9.89333333333333,0.824444444444444
"YDR506C",10,9,19,"SP","phobius",33.7333333333333,3.06666666666667,9.13,0.83
"YLR001C",10,10,20,"SP","phobius",24.8111111111111,2.25555555555556,9.09333333333333,0.826666666666667
"YBR187W",10,8,18,"SP","phobius",26.8888888888889,2.44444444444444,8.84888888888889,0.804444444444444
"YJR103W",11,4,15,"SP","phobius",25.2,2.1,9.57333333333333,0.797777777777778
"YFL051C",11,7,18,"SP","phobius",37.3333333333333,3.11111111111111,9.92,0.826666666666667
"YJL205C",17,12,29,"TM","phobius",51.8,2.87777777777778,15.02,0.834444444444444
"YLL051C",8,4,12,"SP","phobius",20.2,2.24444444444444,7.41,0.823333333333333
"YNL142W",21,32,53,"TM","phobius",49.6222222222222,2.25555555555556,17.7466666666667,0.806666666666667
"YER057C",8,2,10,"SP","phobius",15.5,1.72222222222222,7.1,0.788888888888889
"YNR060W",11,2,13,"SP","phobius",31.2,2.6,10.0533333333333,0.837777777777778
"YGR183C",25,15,40,"TM","phobius",60.6666666666667,2.33333333333333,21.0311111111111,0.808888888888889
"YOL132W",10,3,13,"SP","phobius",34.3444444444444,3.12222222222222,9.22777777777778,0.838888888888889
"YLL023C",18,34,52,"TM","phobius",47.7111111111111,2.51111111111111,15.3266666666667,0.806666666666667
"YKL165C",23,7,30,"TM","phobius",62.1333333333333,2.58888888888889,20.16,0.84
"YKL164C",7,6,13,"SP","phobius",17.6888888888889,2.21111111111111,6.22222222222222,0.777777777777778
"YGL142C",19,17,36,"TM","phobius",40.6666666666667,2.03333333333333,16.5777777777778,0.828888888888889
"YNL283C",8,10,18,"SP","phobius",25.9,2.87777777777778,7.69,0.854444444444444
"YLR194C",11,3,14,"SP","phobius",28.1333333333333,2.34444444444444,9.74666666666667,0.812222222222222
"YJL151C",16,21,37,"TM","phobius",58.1777777777778,3.42222222222222,14.3933333333333,0.846666666666667
"YKL201C",17,28,45,"TM","phobius",60.8,3.37777777777778,15.14,0.841111111111111
"YLL014W",28,32,60,"TM","phobius",76.0444444444445,2.62222222222222,24.4244444444444,0.842222222222222
"YER038W-A",10,11,21,"SP","phobius",32.6333333333333,2.96666666666667,9.79,0.89
"YDR382W",7,4,11,"SP","phobius",18.1333333333333,2.26666666666667,6.45333333333333,0.806666666666667
"YOL077W-A",11,17,28,"SP","phobius",35.4666666666667,2.95555555555556,9.88,0.823333333333333
"YJR004C",11,3,14,"SP","phobius",31.0666666666667,2.58888888888889,9.92,0.826666666666667
"YDR100W",20,12,32,"TM","phobius",47.3666666666667,2.25555555555556,17.0566666666667,0.812222222222222
"YFR041C",7,8,15,"SP","phobius",23.6444444444444,2.95555555555556,6.54222222222222,0.817777777777778
"YIL165C",8,10,18,"SP","phobius",19.4,2.15555555555556,7.22,0.802222222222222
"YAR050W",10,9,19,"SP","phobius",30.6777777777778,2.78888888888889,9.11777777777778,0.828888888888889
"YBL008W-A",13,6,19,"SP","phobius",34.2222222222222,2.44444444444444,11.8377777777778,0.845555555555556
"YDR119W-A",20,40,60,"TM","phobius",42.7,2.03333333333333,17.0333333333333,0.811111111111111
"YDL067C",20,14,34,"TM","phobius",51.3333333333333,2.44444444444444,17.2666666666667,0.822222222222222
"YAL068C",11,4,15,"SP","phobius",29.0666666666667,2.42222222222222,9.38666666666667,0.782222222222222
"YDL206W",16,7,23,"TM","phobius",35.5111111111111,2.08888888888889,13.9777777777778,0.822222222222222
"YML031W",17,34,51,"TM","phobius",49.2,2.73333333333333,14.92,0.828888888888889
"YGR035W-A",19,6,25,"TM","phobius",45.1111111111111,2.25555555555556,16.5333333333333,0.826666666666667
"YLR110C",10,3,13,"SP","phobius",25.7888888888889,2.34444444444444,8.50666666666667,0.773333333333333
